User Count,Total Request Count,Total Average Response Time,Requests/s
0,0,0.0,0
10,712,13.267,0
20,1292,21.934,0
30,1854,30.694,138
40,2394,39.543,420
60,2956,48.191,470
70,3535,55.742,489
80,4063,64.399,501
90,4533,75.569,514
100,5041,83.848,520
110,5576,93.462,518
120,6164,103.155,510
130,6687,110.078,513
140,7170,120.64,554
150,7720,128.511,538
160,8281,136.742,529
170,8848,145.488,530
180,9382,153.699,531
190,9882,161.249,529
200,10265,172.355,530
210,10715,181.532,531
220,11112,192.55,537
230,11469,208.343,521
240,11803,219.596,511
250,12149,235.248,492
260,12467,248.6,480
